Symbol,shortName,fullTimeEmployees,logo_url,company_sector_dim.Index,Index_Loc
CTXS,"Citrix Systems, Inc.",,https://logo.clearbit.com/citrix.com,13,78
CVS,CVS Health Corporation,216000,https://logo.clearbit.com/cvshealth.com,57,79
CZR,"Caesars Entertainment, Inc.",49000,https://logo.clearbit.com/caesars.com,66,80
D,"Dominion Energy, Inc.",17100,https://logo.clearbit.com/dominionenergy.com,14,81
DAL,"Delta Air Lines, Inc.",83000,https://logo.clearbit.com/delta.com,2,82
EFX,"Equifax, Inc.",13000,https://logo.clearbit.com/equifax.com,70,82
FLT,"FleetCor Technologies, Inc.",9700,https://logo.clearbit.com/fleetcor.com,9,82
GPC,Genuine Parts Company,52000,https://logo.clearbit.com/genpt.com,3,82
GPN,Global Payments Inc.,25000,https://logo.clearbit.com/globalpaymentsinc.com,63,82
HD,"Home Depot, Inc. (The)",490600,https://logo.clearbit.com/homedepot.com,82,82
ICE,Intercontinental Exchange Inc.,8858,https://logo.clearbit.com/ice.com,48,82
DD,"DuPont de Nemours, Inc.",28000,https://logo.clearbit.com/dupont.com,20,83
INCY,Incyte Corporation,2094,https://logo.clearbit.com/incyte.com,87,83
DE,Deere & Company,75550,https://logo.clearbit.com/deere.com,47,84
DFS,Discover Financial Services,16700,https://logo.clearbit.com/discover.com,39,85
DG,Dollar General Corporation,163000,https://logo.clearbit.com/dollargeneral.com,59,86
DGX,Quest Diagnostics Incorporated,50000,https://logo.clearbit.com/questdiagnostics.com,1,87
DHI,"D.R. Horton, Inc.",11788,https://logo.clearbit.com/drhorton.com,67,88
DHR,Danaher Corporation,78000,https://logo.clearbit.com/danaher.com,1,89
DIS,Walt Disney Company (The),152000,https://logo.clearbit.com/thewaltdisneycompany.com,56,90
DISH,DISH Network Corporation,14500,https://logo.clearbit.com/dish.com,56,91
DLR,"Digital Realty Trust, Inc.",3030,https://logo.clearbit.com/digitalrealty.com,33,92
DLTR,"Dollar Tree, Inc.",61886,https://logo.clearbit.com/dollartree.com,59,93
DOV,Dover Corporation,25000,https://logo.clearbit.com/dovercorporation.com,25,94
DOW,Dow Inc.,35700,https://logo.clearbit.com/dow.com,50,95
DPZ,Domino's Pizza Inc,7400,https://logo.clearbit.com/dominos.com,58,96
DRI,"Darden Restaurants, Inc.",156883,https://logo.clearbit.com/darden.com,58,97
DTE,DTE Energy Company,10400,https://logo.clearbit.com/newlook.dteenergy.com,14,98
GM,General Motors Company,157000,https://logo.clearbit.com/gm.com,72,98
DVA,DaVita Inc.,69000,https://logo.clearbit.com/davita.com,69,99
DVN,Devon Energy Corporation,1600,https://logo.clearbit.com/devonenergy.com,30,100
DXC,DXC Technology Company,134000,https://logo.clearbit.com/dxc.technology,8,101
DXCM,"DexCom, Inc.",6300,https://logo.clearbit.com/dexcom.com,7,102
ILMN,"Illumina, Inc.",9800,https://logo.clearbit.com/illumina.com,1,102
EA,Electronic Arts Inc.,11000,https://logo.clearbit.com/ea.com,35,103
EQIX,"Equinix, Inc.",11124,https://logo.clearbit.com/equinix.com,27,103
ECL,Ecolab Inc.,47000,https://logo.clearbit.com/ecolab.com,20,104
EIX,Edison International,13003,https://logo.clearbit.com/edison.com,14,105
EMN,Eastman Chemical Company,14000,https://logo.clearbit.com/eastman.com,50,106
ENPH,"Enphase Energy, Inc.",2260,https://logo.clearbit.com/enphase.com,71,107
EPAM,"EPAM Systems, Inc.",58824,https://logo.clearbit.com/epam.com,8,108
ES,Eversource Energy (D/B/A),9227,https://logo.clearbit.com/eversource.com,14,109
ETR,Entergy Corporation,12500,https://logo.clearbit.com/entergy.com,14,110
ETSY,"Etsy, Inc.",2402,https://logo.clearbit.com/etsy.com,28,111
EVRG,"Evergy, Inc.",4930,https://logo.clearbit.com/evergyinc.com,14,112
